dateindex,date,date_integer,AG,AR,AI,BL,BS,BE,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SZ,SO,TI,TG,UR,VD,VS,ZG,ZH
2016-01-12,2016-01-12,135,30.0,,,27.0,15.0,25.0,,4.0,,37.0,,24.0,,86.0,,32.0,100.0,30.0,27.0,7.0,53.0,,,10.0,17.0,24.0
2016-01-13,2016-01-13,136,91.0,,,69.0,53.0,39.0,,16.0,,66.0,,38.0,24.0,,,39.0,100.0,52.0,62.0,14.0,63.0,,,,35.0,47.0
2016-01-14,2016-01-14,137,28.0,91.0,,26.0,15.0,16.0,11.0,6.0,,12.0,,25.0,17.0,100.0,,27.0,50.0,39.0,31.0,7.0,59.0,,5.0,,50.0,21.0
2016-01-15,2016-01-15,138,8.0,,,,4.0,10.0,,,100.0,10.0,26.0,9.0,,38.0,,7.0,,53.0,12.0,,13.0,,,4.0,,6.0
2016-01-16,2016-01-16,139,42.0,,,87.0,47.0,28.0,,12.0,,22.0,,15.0,,,,39.0,100.0,,69.0,14.0,31.0,,5.0,18.0,42.0,32.0
2016-01-17,2016-01-17,140,4.0,17.0,100.0,4.0,3.0,3.0,2.0,1.0,,3.0,,5.0,,16.0,,4.0,25.0,5.0,5.0,,11.0,,1.0,2.0,3.0,4.0
2016-01-18,2016-01-18,141,12.0,44.0,,8.0,11.0,9.0,,2.0,100.0,16.0,,17.0,,41.0,,10.0,,11.0,4.0,3.0,16.0,,2.0,4.0,15.0,9.0
2016-01-19,2016-01-19,142,17.0,100.0,,26.0,8.0,15.0,14.0,3.0,,24.0,,17.0,,58.0,,16.0,33.0,17.0,11.0,,21.0,90.0,,,11.0,11.0
2016-01-20,2016-01-20,143,31.0,,,15.0,26.0,27.0,,4.0,,25.0,,35.0,,100.0,,17.0,,29.0,24.0,8.0,18.0,,5.0,,19.0,24.0
2016-01-21,2016-01-21,144,15.0,,,26.0,23.0,10.0,7.0,2.0,99.0,21.0,,13.0,,100.0,,13.0,34.0,26.0,21.0,5.0,10.0,,1.0,6.0,,13.0
2016-01-22,2016-01-22,145,19.0,85.0,,32.0,25.0,11.0,9.0,3.0,,26.0,,24.0,19.0,,,23.0,37.0,23.0,24.0,6.0,,100.0,2.0,,13.0,14.0
2016-01-23,2016-01-23,146,23.0,100.0,,13.0,10.0,20.0,,5.0,,17.0,,18.0,9.0,,,22.0,,,12.0,6.0,,,,8.0,15.0,12.0
2016-01-24,2016-01-24,147,20.0,61.0,,9.0,15.0,15.0,,2.0,,7.0,,12.0,14.0,58.0,,12.0,,37.0,20.0,4.0,23.0,100.0,1.0,,12.0,12.0
2016-01-25,2016-01-25,148,21.0,,,15.0,16.0,10.0,,2.0,,18.0,,30.0,,,100.0,26.0,40.0,67.0,43.0,,23.0,,2.0,11.0,18.0,18.0
2016-01-26,2016-01-26,149,32.0,100.0,,36.0,28.0,33.0,12.0,3.0,,25.0,,25.0,,85.0,,28.0,78.0,29.0,29.0,,35.0,,4.0,11.0,18.0,28.0
2016-01-27,2016-01-27,150,32.0,97.0,,20.0,27.0,18.0,11.0,4.0,,18.0,,22.0,,87.0,,24.0,100.0,,64.0,7.0,16.0,,2.0,10.0,15.0,22.0
2016-01-28,2016-01-28,151,20.0,,,25.0,35.0,36.0,,3.0,,14.0,,18.0,,100.0,,48.0,60.0,,38.0,17.0,59.0,,3.0,11.0,28.0,29.0
