,canton,search_wohnung,date
510,Tessin,2.0,2017-05-18
511,Genf,1.0,2017-05-18
512,Waadt,1.0,2017-05-18
513,Appenzell Ausserrhoden,,2017-05-18
514,Jura,,2017-05-18
515,Neuenburg,,2017-05-18
516,Nidwalden,,2017-05-18
517,Obwalden,,2017-05-18
518,Uri,,2017-05-18
519,Wallis,,2017-05-18
520,Thurgau,100.0,2018-05-16
521,Appenzell Ausserrhoden,97.0,2018-05-16
522,Aargau,87.0,2018-05-16
523,Jura,74.0,2018-05-16
524,Graubünden,69.0,2018-05-16
525,Schaffhausen,66.0,2018-05-16
526,Luzern,66.0,2018-05-16
527,Sankt Gallen,59.0,2018-05-16
528,Basel-Landschaft,54.0,2018-05-16
529,Zürich,54.0,2018-05-16
530,Bern,53.0,2018-05-16
531,Basel-Stadt,44.0,2018-05-16
532,Zug,42.0,2018-05-16
533,Solothurn,38.0,2018-05-16
534,Schwyz,34.0,2018-05-16
535,Freiburg,31.0,2018-05-16
536,Waadt,17.0,2018-05-16
537,Wallis,16.0,2018-05-16
538,Tessin,13.0,2018-05-16
539,Genf,7.0,2018-05-16
540,Appenzell Innerrhoden,,2018-05-16
541,Glarus,,2018-05-16
542,Neuenburg,,2018-05-16
543,Nidwalden,,2018-05-16
544,Obwalden,,2018-05-16
545,Uri,,2018-05-16
546,Nidwalden,100.0,2016-01-28
547,Schaffhausen,60.0,2016-01-28
548,Thurgau,59.0,2016-01-28
549,Sankt Gallen,48.0,2016-01-28
550,Solothurn,38.0,2016-01-28
551,Bern,36.0,2016-01-28
552,Basel-Stadt,35.0,2016-01-28
553,Zürich,29.0,2016-01-28
554,Zug,28.0,2016-01-28
555,Basel-Landschaft,25.0,2016-01-28
556,Aargau,20.0,2016-01-28
557,Luzern,18.0,2016-01-28
558,Tessin,17.0,2016-01-28
559,Graubünden,14.0,2016-01-28
560,Wallis,11.0,2016-01-28
561,Genf,3.0,2016-01-28
562,Waadt,3.0,2016-01-28
563,Appenzell Innerrhoden,,2016-01-28
564,Appenzell Ausserrhoden,,2016-01-28
565,Freiburg,,2016-01-28
566,Glarus,,2016-01-28
567,Jura,,2016-01-28
568,Neuenburg,,2016-01-28
